,"G(k_1,k_2)"
"(0,1)",20.717614487252632
"(1,0)",22.109009267623314
"(1,1)",13.555398248573635
"(0,2)",18.142590948861926
"(2,0)",17.04619076143844
"(1,2)",12.60843730002491
"(2,1)",12.401644486174412
"(2,2)",11.519603170077064
"(0,3)",8.359162746096738
"(3,0)",8.110313362310384
"(1,3)",4.9605691835860615
"(3,1)",6.425333144157586
"(2,3)",6.951200399209146
"(3,2)",6.964452498018692
"(3,3)",5.0626360500448335
"(0,4)",5.381534749771733
"(4,0)",5.198776581145703
"(1,4)",2.9390865823155754
"(4,1)",3.6193964336478035
"(2,4)",3.9017621077813924
"(4,2)",4.711876518207481
"(3,4)",4.129811108180914
"(4,3)",4.055053004499321
"(4,4)",2.734539350798204
others,1.4907618594940386
